用户标识,业务类型,主叫时长（分）,被叫时长（分）,免费流量,计费流量,月均上网时长（分）,入网时长（天）,最近一次缴费金额（元）,总缴费金额(元),缴费次数,余额,是否潜在合约用户
67904,4G,86.0,99.0,395.0,128.0,84.0,138.0,21.0,632.0,5.0,19.0,1
64159,2G,63.0,98.0,372.0,23.0,44.0,175.0,69.0,487.0,11.0,57.0,0
67312,2G,60.0,113.0,386.0,46.0,75.0,219.0,50.0,496.0,8.0,73.0,0
67301,4G,119.0,90.0,405.0,131.0,119.0,123.0,48.0,429.0,16.0,59.0,1
67791,2G,91.0,91.0,373.0,56.0,52.0,171.0,60.0,542.0,8.0,89.0,0
69478,4G,102.0,96.0,376.0,108.0,118.0,181.0,57.0,721.0,12.0,46.0,1
65594,4G,84.0,80.0,383.0,0.0,96.0,168.0,61.0,386.0,9.0,71.0,0
69518,3G,99.0,119.0,383.0,33.0,70.0,197.0,40.0,580.0,10.0,35.0,1
63629,4G,123.0,103.0,399.0,135.0,125.0,133.0,50.0,527.0,2.0,33.0,1
64484,4G,107.0,79.0,394.0,36.0,96.0,212.0,14.0,452.0,4.0,8.0,1
66785,3G,95.0,86.0,385.0,138.0,109.0,208.0,19.0,420.0,8.0,86.0,1
60115,2G,96.0,74.0,370.0,0.0,80.0,207.0,69.0,481.0,12.0,59.0,0
62240,3G,78.0,78.0,395.0,22.0,68.0,213.0,79.0,418.0,11.0,60.0,0
62431,4G,88.0,103.0,391.0,38.0,82.0,168.0,83.0,551.0,6.0,76.0,0
64733,3G,88.0,61.0,397.0,0.0,111.0,227.0,109.0,446.0,8.0,96.0,1
60858,4G,81.0,99.0,411.0,91.0,119.0,170.0,74.0,312.0,14.0,35.0,1
65185,4G,105.0,114.0,392.0,7.0,79.0,193.0,50.0,569.0,7.0,90.0,0
67476,4G,99.0,88.0,376.0,55.0,78.0,152.0,67.0,473.0,15.0,56.0,0
65385,4G,84.0,144.0,385.0,68.0,78.0,189.0,61.0,545.0,13.0,25.0,1
66382,4G,119.0,77.0,414.0,85.0,91.0,199.0,6.0,464.0,9.0,37.0,1
61768,4G,77.0,96.0,411.0,0.0,144.0,174.0,41.0,712.0,6.0,75.0,1
69963,4G,87.0,80.0,379.0,7.0,49.0,198.0,87.0,526.0,8.0,26.0,0
62349,3G,96.0,113.0,391.0,158.0,154.0,128.0,109.0,608.0,13.0,49.0,1
62416,3G,107.0,97.0,381.0,30.0,64.0,141.0,50.0,562.0,9.0,53.0,0
60758,4G,141.0,72.0,410.0,53.0,133.0,123.0,58.0,350.0,8.0,62.0,1
60481,4G,83.0,74.0,386.0,26.0,68.0,173.0,43.0,637.0,9.0,24.0,0
63942,4G,88.0,89.0,382.0,64.0,73.0,230.0,63.0,538.0,6.0,77.0,1
64023,3G,96.0,99.0,384.0,27.0,87.0,197.0,65.0,523.0,7.0,42.0,0
61176,3G,89.0,94.0,373.0,27.0,53.0,144.0,54.0,363.0,8.0,71.0,0
61588,3G,105.0,88.0,389.0,32.0,93.0,189.0,70.0,463.0,5.0,66.0,0
64372,2G,91.0,84.0,406.0,21.0,72.0,175.0,66.0,550.0,10.0,65.0,0
64686,3G,134.0,72.0,398.0,0.0,83.0,199.0,51.0,601.0,9.0,94.0,1
67793,2G,99.0,79.0,390.0,27.0,74.0,223.0,51.0,475.0,11.0,42.0,0
65489,3G,128.0,117.0,416.0,49.0,130.0,234.0,80.0,674.0,11.0,51.0,1
69785,4G,62.0,128.0,398.0,177.0,140.0,182.0,60.0,626.0,11.0,38.0,1
63976,2G,64.0,88.0,376.0,32.0,90.0,186.0,67.0,520.0,4.0,80.0,0
64191,3G,114.0,86.0,381.0,37.0,87.0,230.0,80.0,662.0,9.0,63.0,0
67573,3G,80.0,82.0,382.0,40.0,83.0,209.0,58.0,439.0,6.0,94.0,0
60551,3G,93.0,91.0,382.0,8.0,91.0,179.0,58.0,484.0,5.0,40.0,0
64940,3G,91.0,92.0,399.0,38.0,105.0,201.0,51.0,600.0,8.0,46.0,0
67544,4G,106.0,91.0,378.0,7.0,111.0,229.0,48.0,474.0,9.0,79.0,0
69113,2G,80.0,65.0,379.0,27.0,78.0,232.0,53.0,401.0,4.0,52.0,0
66346,2G,97.0,61.0,387.0,18.0,108.0,185.0,47.0,470.0,5.0,56.0,0
67087,4G,113.0,87.0,391.0,0.0,83.0,157.0,71.0,431.0,10.0,94.0,0
68408,3G,105.0,125.0,406.0,0.0,140.0,217.0,98.0,583.0,6.0,40.0,1
60537,4G,90.0,60.0,381.0,36.0,82.0,181.0,78.0,499.0,14.0,33.0,0
62833,4G,125.0,62.0,392.0,93.0,173.0,82.0,48.0,588.0,8.0,15.0,1
63794,4G,116.0,100.0,386.0,133.0,142.0,281.0,4.0,560.0,12.0,22.0,1
64146,3G,78.0,120.0,381.0,13.0,107.0,151.0,67.0,399.0,10.0,61.0,0
61077,2G,95.0,105.0,366.0,7.0,101.0,186.0,80.0,615.0,10.0,52.0,0
61036,4G,130.0,144.0,383.0,48.0,126.0,173.0,88.0,609.0,8.0,60.0,1
64089,4G,83.0,77.0,370.0,7.0,65.0,218.0,69.0,678.0,8.0,45.0,0
61142,4G,57.0,133.0,386.0,117.0,93.0,230.0,66.0,528.0,12.0,65.0,1
64399,3G,98.0,105.0,384.0,0.0,76.0,190.0,61.0,511.0,10.0,60.0,0
68229,3G,67.0,102.0,375.0,4.0,78.0,164.0,45.0,579.0,11.0,70.0,0
67874,3G,93.0,97.0,381.0,8.0,53.0,195.0,68.0,554.0,14.0,99.0,0
61042,3G,117.0,85.0,393.0,8.0,65.0,174.0,59.0,628.0,13.0,70.0,0
61371,3G,88.0,112.0,407.0,108.0,82.0,208.0,25.0,277.0,7.0,52.0,1
63224,4G,76.0,65.0,421.0,54.0,115.0,148.0,79.0,553.0,7.0,58.0,1
69575,3G,74.0,96.0,382.0,0.0,75.0,193.0,75.0,500.0,11.0,53.0,0
64760,4G,144.0,104.0,406.0,25.0,108.0,143.0,46.0,617.0,4.0,66.0,1
63079,3G,108.0,107.0,405.0,82.0,134.0,148.0,68.0,544.0,17.0,33.0,1
65850,3G,99.0,95.0,400.0,45.0,101.0,189.0,58.0,528.0,9.0,82.0,0
64580,4G,80.0,100.0,382.0,30.0,66.0,117.0,71.0,505.0,7.0,71.0,0
69222,3G,108.0,94.0,385.0,0.0,140.0,248.0,3.0,637.0,8.0,72.0,1
64695,3G,92.0,100.0,382.0,4.0,80.0,114.0,58.0,616.0,9.0,76.0,0
69079,4G,107.0,88.0,413.0,140.0,113.0,144.0,7.0,438.0,9.0,32.0,1
61268,3G,90.0,94.0,370.0,21.0,81.0,169.0,49.0,458.0,8.0,36.0,0
62348,4G,123.0,104.0,419.0,104.0,105.0,233.0,62.0,393.0,13.0,40.0,1
68272,3G,114.0,131.0,404.0,128.0,132.0,175.0,61.0,708.0,7.0,33.0,1
66860,4G,115.0,113.0,415.0,0.0,115.0,252.0,5.0,406.0,6.0,56.0,1
67574,2G,97.0,112.0,384.0,0.0,45.0,173.0,76.0,479.0,6.0,70.0,0
64508,4G,115.0,87.0,381.0,0.0,119.0,164.0,45.0,375.0,9.0,77.0,1
65340,3G,92.0,88.0,389.0,10.0,96.0,159.0,0.0,468.0,14.0,75.0,1
65932,4G,137.0,161.0,383.0,52.0,125.0,156.0,62.0,495.0,11.0,74.0,1
68126,4G,89.0,72.0,389.0,62.0,135.0,190.0,28.0,528.0,13.0,0.0,1
69054,3G,93.0,106.0,382.0,8.0,66.0,194.0,26.0,577.0,10.0,46.0,0
60669,3G,103.0,121.0,389.0,6.0,181.0,161.0,33.0,413.0,12.0,27.0,1
65859,3G,64.0,120.0,400.0,36.0,107.0,195.0,39.0,642.0,13.0,112.0,1
67202,4G,87.0,86.0,404.0,61.0,100.0,152.0,37.0,641.0,14.0,96.0,1
68883,3G,96.0,99.0,378.0,0.0,83.0,188.0,90.0,464.0,13.0,67.0,0
61179,3G,102.0,76.0,393.0,91.0,89.0,132.0,61.0,443.0,13.0,5.0,1
62022,4G,84.0,79.0,414.0,95.0,109.0,265.0,25.0,454.0,9.0,49.0,1
65160,3G,123.0,104.0,409.0,0.0,145.0,223.0,30.0,436.0,5.0,105.0,1
62578,2G,90.0,78.0,373.0,25.0,83.0,171.0,60.0,407.0,8.0,56.0,0
60418,3G,97.0,62.0,386.0,82.0,161.0,255.0,0.0,446.0,14.0,40.0,1
67503,4G,87.0,113.0,382.0,42.0,62.0,205.0,49.0,536.0,6.0,67.0,0
66801,2G,102.0,90.0,382.0,32.0,70.0,158.0,48.0,688.0,8.0,46.0,0
60526,2G,121.0,86.0,387.0,30.0,65.0,153.0,68.0,545.0,7.0,51.0,0
67007,4G,80.0,92.0,375.0,5.0,78.0,225.0,71.0,560.0,3.0,45.0,0
62519,3G,79.0,102.0,380.0,14.0,60.0,188.0,91.0,612.0,11.0,68.0,0
67847,4G,89.0,90.0,376.0,0.0,122.0,221.0,8.0,377.0,6.0,65.0,1
67110,4G,86.0,78.0,366.0,28.0,88.0,185.0,71.0,553.0,9.0,67.0,0
69476,3G,67.0,139.0,401.0,123.0,137.0,109.0,67.0,471.0,12.0,3.0,1
68219,2G,112.0,73.0,392.0,0.0,90.0,188.0,76.0,562.0,10.0,42.0,0
62685,4G,94.0,85.0,367.0,30.0,74.0,222.0,60.0,644.0,11.0,96.0,0
69814,4G,89.0,105.0,403.0,52.0,123.0,206.0,96.0,364.0,9.0,103.0,1
63174,4G,123.0,101.0,394.0,0.0,131.0,82.0,29.0,447.0,9.0,124.0,1
65994,4G,90.0,89.0,392.0,33.0,83.0,251.0,73.0,467.0,8.0,32.0,0
65155,4G,105.0,94.0,405.0,110.0,119.0,57.0,37.0,495.0,10.0,89.0,1
69301,3G,108.0,73.0,431.0,0.0,149.0,261.0,29.0,563.0,8.0,24.0,1
63098,3G,81.0,77.0,407.0,40.0,121.0,184.0,7.0,705.0,7.0,11.0,1
68842,4G,98.0,94.0,386.0,23.0,84.0,194.0,52.0,503.0,9.0,71.0,0
60786,3G,71.0,138.0,401.0,74.0,178.0,225.0,9.0,405.0,10.0,86.0,1
68185,4G,112.0,102.0,369.0,97.0,115.0,235.0,82.0,465.0,8.0,71.0,1
61369,4G,131.0,110.0,385.0,0.0,86.0,165.0,60.0,442.0,8.0,23.0,1
60218,4G,80.0,105.0,396.0,0.0,109.0,102.0,55.0,469.0,15.0,99.0,1
63385,4G,66.0,71.0,387.0,16.0,74.0,214.0,49.0,561.0,9.0,55.0,0
61428,3G,82.0,72.0,405.0,0.0,101.0,186.0,66.0,625.0,9.0,95.0,1
67070,3G,87.0,83.0,387.0,29.0,94.0,175.0,65.0,415.0,11.0,63.0,0
67160,4G,117.0,112.0,425.0,49.0,127.0,161.0,22.0,583.0,11.0,42.0,1
63661,4G,80.0,70.0,403.0,1.0,147.0,190.0,91.0,362.0,7.0,64.0,1
62327,4G,71.0,81.0,389.0,36.0,75.0,193.0,35.0,582.0,8.0,55.0,0
61369,3G,101.0,132.0,372.0,0.0,54.0,217.0,46.0,409.0,12.0,64.0,1
69525,3G,124.0,88.0,396.0,2.0,70.0,168.0,48.0,499.0,11.0,52.0,0
65017,3G,95.0,81.0,387.0,30.0,132.0,170.0,18.0,377.0,13.0,88.0,1
62525,4G,108.0,81.0,413.0,0.0,119.0,184.0,0.0,424.0,6.0,96.0,1
60646,2G,101.0,85.0,382.0,61.0,87.0,171.0,71.0,411.0,14.0,71.0,0
65936,2G,78.0,97.0,386.0,12.0,96.0,237.0,41.0,472.0,9.0,67.0,0
64140,4G,95.0,100.0,386.0,15.0,115.0,204.0,82.0,411.0,5.0,53.0,0
60226,2G,109.0,95.0,389.0,49.0,89.0,171.0,43.0,525.0,10.0,48.0,0
66193,2G,94.0,104.0,379.0,14.0,85.0,181.0,53.0,306.0,12.0,59.0,0
67704,3G,83.0,63.0,391.0,0.0,82.0,219.0,43.0,595.0,10.0,72.0,0
67706,3G,108.0,90.0,377.0,17.0,81.0,222.0,51.0,512.0,11.0,71.0,0
63663,2G,99.0,76.0,381.0,8.0,89.0,138.0,65.0,555.0,4.0,84.0,0
67924,4G,99.0,124.0,385.0,39.0,142.0,169.0,9.0,728.0,6.0,86.0,1
69813,2G,81.0,73.0,376.0,24.0,85.0,232.0,58.0,481.0,7.0,65.0,0
66985,4G,90.0,62.0,412.0,64.0,91.0,183.0,2.0,330.0,7.0,66.0,1
65367,4G,94.0,123.0,369.0,3.0,71.0,218.0,73.0,580.0,10.0,71.0,0
67062,4G,100.0,98.0,371.0,12.0,93.0,146.0,72.0,534.0,11.0,50.0,0
66982,4G,87.0,108.0,406.0,80.0,134.0,188.0,0.0,483.0,13.0,58.0,1
63826,4G,95.0,111.0,413.0,59.0,153.0,164.0,23.0,694.0,7.0,37.0,1
64535,4G,83.0,87.0,418.0,0.0,138.0,230.0,27.0,468.0,7.0,55.0,1
60331,3G,100.0,119.0,398.0,117.0,137.0,205.0,74.0,623.0,14.0,94.0,1
61283,3G,80.0,108.0,383.0,11.0,92.0,181.0,53.0,448.0,7.0,42.0,0
62239,3G,92.0,82.0,382.0,28.0,70.0,174.0,64.0,418.0,14.0,67.0,0
61983,4G,91.0,128.0,384.0,23.0,69.0,147.0,42.0,460.0,10.0,73.0,0
66042,3G,137.0,104.0,414.0,34.0,147.0,287.0,33.0,601.0,11.0,71.0,1
67453,4G,117.0,83.0,378.0,24.0,111.0,207.0,69.0,343.0,9.0,69.0,0
60636,3G,91.0,143.0,402.0,0.0,131.0,148.0,58.0,518.0,9.0,84.0,1
61930,2G,80.0,115.0,387.0,35.0,104.0,159.0,52.0,589.0,9.0,41.0,0
61430,3G,96.0,94.0,379.0,28.0,61.0,199.0,69.0,499.0,6.0,55.0,0
66224,4G,123.0,104.0,388.0,105.0,121.0,255.0,36.0,470.0,13.0,19.0,1
63291,4G,101.0,117.0,378.0,41.0,97.0,218.0,55.0,370.0,8.0,23.0,1
63463,4G,121.0,118.0,397.0,38.0,133.0,149.0,89.0,612.0,2.0,45.0,1
68700,4G,83.0,114.0,385.0,48.0,137.0,103.0,54.0,345.0,7.0,26.0,1
64049,3G,87.0,82.0,368.0,32.0,70.0,212.0,64.0,454.0,6.0,85.0,0
63283,4G,115.0,70.0,402.0,0.0,124.0,162.0,70.0,661.0,5.0,36.0,1
64909,4G,84.0,135.0,379.0,137.0,102.0,137.0,50.0,578.0,7.0,27.0,1
65077,4G,100.0,96.0,387.0,44.0,91.0,152.0,41.0,478.0,10.0,72.0,0
62275,3G,106.0,61.0,386.0,44.0,82.0,165.0,46.0,352.0,5.0,30.0,1
62541,4G,136.0,130.0,397.0,130.0,132.0,218.0,64.0,484.0,5.0,17.0,1
67631,4G,114.0,56.0,377.0,10.0,76.0,196.0,85.0,437.0,12.0,58.0,0
66339,3G,123.0,104.0,419.0,116.0,98.0,201.0,42.0,529.0,5.0,19.0,1
62400,4G,111.0,88.0,407.0,19.0,141.0,219.0,106.0,415.0,5.0,34.0,1
60882,3G,93.0,92.0,373.0,21.0,106.0,234.0,34.0,413.0,11.0,68.0,0
68501,4G,108.0,103.0,414.0,42.0,154.0,216.0,0.0,526.0,12.0,47.0,1
64187,3G,103.0,108.0,369.0,11.0,93.0,180.0,81.0,613.0,5.0,68.0,0
69030,4G,83.0,120.0,390.0,113.0,106.0,185.0,19.0,328.0,6.0,12.0,1
63610,3G,98.0,102.0,376.0,52.0,82.0,231.0,61.0,435.0,11.0,53.0,0
63434,2G,97.0,74.0,381.0,17.0,95.0,175.0,70.0,636.0,14.0,33.0,0
65402,3G,113.0,66.0,390.0,0.0,70.0,219.0,57.0,530.0,7.0,75.0,0
60197,3G,99.0,104.0,368.0,44.0,73.0,171.0,45.0,502.0,9.0,76.0,0
62261,3G,114.0,72.0,419.0,85.0,70.0,213.0,9.0,330.0,6.0,38.0,1
61049,3G,84.0,102.0,390.0,88.0,151.0,202.0,5.0,493.0,13.0,19.0,1
69118,4G,91.0,94.0,396.0,96.0,111.0,154.0,33.0,384.0,13.0,100.0,1
69076,3G,68.0,106.0,382.0,29.0,95.0,188.0,73.0,407.0,9.0,53.0,0
60593,3G,103.0,105.0,399.0,67.0,96.0,122.0,15.0,677.0,10.0,76.0,1
64621,3G,114.0,95.0,407.0,118.0,175.0,141.0,49.0,523.0,7.0,48.0,1
63426,4G,114.0,118.0,405.0,0.0,102.0,208.0,44.0,699.0,4.0,15.0,1
67715,4G,99.0,100.0,409.0,106.0,120.0,236.0,61.0,637.0,6.0,0.0,1
66755,3G,149.0,78.0,397.0,69.0,88.0,163.0,51.0,529.0,12.0,35.0,1
64298,3G,115.0,73.0,397.0,13.0,89.0,183.0,32.0,500.0,13.0,3.0,1
63553,4G,103.0,104.0,391.0,0.0,127.0,223.0,31.0,558.0,17.0,75.0,1
60927,2G,90.0,89.0,387.0,22.0,55.0,183.0,52.0,494.0,9.0,56.0,0
63699,4G,131.0,92.0,402.0,69.0,116.0,192.0,38.0,374.0,2.0,71.0,1
62845,3G,122.0,102.0,400.0,16.0,54.0,249.0,24.0,473.0,11.0,43.0,1
66681,3G,73.0,107.0,422.0,38.0,47.0,203.0,58.0,367.0,8.0,35.0,1
60207,2G,80.0,102.0,397.0,14.0,76.0,153.0,61.0,424.0,9.0,40.0,0
66497,2G,90.0,92.0,376.0,42.0,92.0,184.0,83.0,712.0,6.0,65.0,0
67989,3G,72.0,111.0,376.0,5.0,96.0,183.0,72.0,480.0,5.0,53.0,0
69762,2G,74.0,104.0,389.0,5.0,118.0,172.0,52.0,578.0,6.0,55.0,0
62169,4G,114.0,112.0,392.0,0.0,115.0,154.0,1.0,498.0,5.0,71.0,1
66735,3G,83.0,93.0,372.0,4.0,79.0,198.0,56.0,544.0,9.0,75.0,0
63431,4G,98.0,79.0,380.0,2.0,98.0,190.0,84.0,593.0,10.0,56.0,0
65263,4G,98.0,86.0,377.0,14.0,73.0,162.0,60.0,462.0,9.0,64.0,0
60070,3G,78.0,54.0,398.0,48.0,135.0,226.0,60.0,612.0,13.0,47.0,1
66610,4G,106.0,95.0,399.0,151.0,89.0,170.0,67.0,355.0,3.0,32.0,1
67970,4G,93.0,72.0,371.0,41.0,53.0,159.0,86.0,409.0,7.0,51.0,0
62836,3G,110.0,93.0,382.0,42.0,79.0,169.0,44.0,635.0,11.0,43.0,0
66073,2G,86.0,66.0,371.0,16.0,84.0,126.0,87.0,513.0,8.0,76.0,0
61968,4G,103.0,94.0,402.0,67.0,134.0,144.0,83.0,584.0,1.0,46.0,1
61355,3G,84.0,101.0,364.0,15.0,54.0,172.0,61.0,529.0,10.0,79.0,0
67734,3G,65.0,82.0,375.0,6.0,47.0,159.0,60.0,465.0,13.0,43.0,0
63436,4G,114.0,145.0,389.0,77.0,163.0,140.0,9.0,596.0,10.0,57.0,1
67461,4G,90.0,68.0,381.0,0.0,152.0,182.0,32.0,414.0,8.0,39.0,1
62950,3G,48.0,89.0,417.0,0.0,126.0,181.0,60.0,607.0,10.0,58.0,1
62346,4G,74.0,88.0,385.0,35.0,76.0,199.0,79.0,477.0,10.0,99.0,0
68232,4G,104.0,66.0,382.0,8.0,76.0,220.0,63.0,429.0,15.0,49.0,0
66365,3G,92.0,78.0,409.0,95.0,116.0,153.0,76.0,222.0,7.0,57.0,1
63541,2G,105.0,76.0,383.0,0.0,96.0,122.0,52.0,533.0,6.0,75.0,0
62140,4G,98.0,66.0,390.0,17.0,94.0,192.0,43.0,402.0,7.0,73.0,0
64327,4G,101.0,101.0,398.0,74.0,95.0,126.0,45.0,215.0,5.0,83.0,1
68723,4G,111.0,67.0,408.0,0.0,133.0,202.0,53.0,656.0,10.0,84.0,1
68346,3G,116.0,90.0,374.0,27.0,64.0,223.0,59.0,489.0,6.0,86.0,0
68552,3G,103.0,84.0,382.0,78.0,138.0,230.0,54.0,744.0,2.0,68.0,1
69381,3G,81.0,90.0,376.0,18.0,81.0,179.0,65.0,572.0,9.0,49.0,0
65157,2G,81.0,96.0,385.0,17.0,78.0,85.0,51.0,571.0,9.0,45.0,0
62455,4G,84.0,101.0,391.0,52.0,115.0,175.0,13.0,718.0,7.0,66.0,1
64688,3G,105.0,110.0,382.0,0.0,67.0,176.0,54.0,582.0,11.0,77.0,0
69260,4G,92.0,117.0,415.0,29.0,163.0,176.0,87.0,469.0,5.0,90.0,1
64084,4G,94.0,108.0,371.0,19.0,97.0,189.0,94.0,364.0,7.0,43.0,0
60073,3G,87.0,80.0,396.0,25.0,101.0,172.0,83.0,389.0,10.0,51.0,0
61048,4G,85.0,99.0,375.0,0.0,64.0,183.0,57.0,375.0,8.0,32.0,0
63584,3G,62.0,65.0,392.0,124.0,143.0,159.0,48.0,584.0,12.0,84.0,1
67689,4G,111.0,96.0,380.0,33.0,92.0,203.0,58.0,408.0,11.0,35.0,0
60796,3G,86.0,87.0,388.0,0.0,151.0,158.0,53.0,480.0,6.0,48.0,1
66992,2G,63.0,64.0,372.0,16.0,92.0,208.0,73.0,466.0,8.0,37.0,0
68421,2G,92.0,92.0,376.0,30.0,87.0,162.0,76.0,415.0,7.0,73.0,0
68583,2G,76.0,83.0,386.0,34.0,93.0,218.0,76.0,500.0,12.0,26.0,0
61920,4G,127.0,118.0,380.0,20.0,109.0,164.0,50.0,321.0,6.0,42.0,1
63638,4G,99.0,97.0,372.0,89.0,141.0,163.0,70.0,524.0,17.0,79.0,1
